no,name,brand,category,img,emoji,has_settings,inputs,outputs,func,ports_raw
900,Brainwavz Angled Memory Foam Earpads,Brainwavz,Bantalan Telinga Cadangan Headphone (Replacement Earpads),,🔧,0,Busa Memori Inti Tebal Lentur Miring Menyesuaikan Sudut Rahang|Other; Kain Velour Kulit Sintetis Lembut Menempel Kuping|Other,,Donat busa keselamatan telinga menggantikan bantalan keras pabrik memberikan isolasi suara sempurna dan kenyamanan mewah walau editor memakai headphone 10 jam tanpa lepas,"Busa Memori Inti Tebal Lentur Miring Menyesuaikan Sudut Rahang, Kain Velour Kulit Sintetis Lembut Menempel Kuping"
901,HobbyTiger LiPo Battery Safe Bag,HobbyTiger,Kotak Pembawa Baterai Kamera Aman Terbang (LiPo Safe Bag),,🔧,0,Kain Serat Kaca Tahan Api Tebal Anyaman Kuat|Power; Penutup Segel Velcro Lebar Tahan Ledakan Internal Api|Other,,Kantong penjinak bom penyimpan baterai drone bertenaga raksasa menahan kobaran api jika terjadi korsleting di dalam bagasi kabin pesawat menyelamatkan kru dari bencana udara,"Kain Serat Kaca Tahan Api Tebal Anyaman Kuat, Penutup Segel Velcro Lebar Tahan Ledakan Internal Api"
902,Titus Communications On Air Light,Titus,Lampu Indikator Peringatan Pintu Studio (On-Air Warning Light),/images_real/real_0865.jpg,🔧,0,Kotak Akrilik Merah Teks Putih Nyala Cerah|Other; Adaptor Listrik Relai Sambungan Ke Meja Mixer Audio|Audio,,Rambu dilarang masuk menyala terang berdarah di atas pintu studio podcast mencegah panitia acara membuka pintu sembarangan dan bersuara saat siaran internet sedang mengudara,"Kotak Akrilik Merah Teks Putih Nyala Cerah, Adaptor Listrik Relai Sambungan Ke Meja Mixer Audio"
903,SmallRig NATO Wooden Side Handle,SmallRig,Gagang Kayu Kamera Pegangan Samping (Wooden Side Handle),,🔧,0,Kayu Rosewood Asli Pahat Ergonomis|Other; Penjepit Geser Rel NATO Besi Kunci Cepat Sepatu Dingin Atas|Other,,Tuas persneling kemudi samping kamera dari kayu hangat yang tidak beku dipegang saat musim salju memberikan kestabilan dua tangan menahan getaran gaya berjalan kameramen,"Kayu Rosewood Asli Pahat Ergonomis, Penjepit Geser Rel NATO Besi Kunci Cepat Sepatu Dingin Atas"
904,Mogami Gold EXT 1/4 Inch Extension,Mogami,Kabel Pemanjang Lubang Colokan Headphone Panggung (Headphone Extension),,🔧,0,Colokan Laki Besar Ke Colokan Perempuan Besar|Other; Inti Tembaga Tebal Lentur Bebas Oksigen 10 Meter|Other,,Tali pengantar musik murni membebaskan vokalis di bilik rekam bergerak menjauh 10 meter dari mesin ampli tanpa sedikitpun penurunan kualitas suara nada tinggi atau dentum bass,"Colokan Laki Besar Ke Colokan Perempuan Besar, Inti Tembaga Tebal Lentur Bebas Oksigen 10 Meter"
905,Gaffer Power Floor Cable Cover,Gaffer,Sistem Penutup Kabel Lantai Tipis Isolasi (Floor Cable Cover Tapes),,🔧,0,Lakban Lebar Tengah Bening Tanpa Lem Kiri Kanan Berperekat Kuat|Other; Bahan Tahan Sobek Kain Sintetis|Other,,Karpet plester pintar menyekap ular kabel di tengah jalan lantai tanpa menempelkan lem merusak ke kulit kabel menyelamatkan langkah penonton dan kemudahan bongkar kru acara,"Lakban Lebar Tengah Bening Tanpa Lem Kiri Kanan Berperekat Kuat, Bahan Tahan Sobek Kain Sintetis"
906,Seismic Audio 4-Channel XLR Snake,Seismic,Kotak Distributor Sinyal Audio Kamera Lensa Jauh (Audio Snake Cable),,🔧,0,Kotak Besi Lemparan Lantai Empat Lubang XLR Betina|Audio; Kabel Induk Tebal Ekor Empat XLR Jantan Jauh|Audio,,Selang pemadam suara membungkus empat urat kabel mic menjadi satu ular besar mengurangi kekacauan juntaian kabel di lantai dari set drum panggung menuju mesin mixer di sudut ruangan,"Kotak Besi Lemparan Lantai Empat Lubang XLR Betina, Kabel Induk Tebal Ekor Empat XLR Jantan Jauh"
907,Klein Tools 5165 10-Pocket Tool Pouch,Klein,Sabuk Kantong Alat Tukang Panggung (Tool Pouch Bag),,🔧,0,Kulit Asli Keras Tahan Tusukan Pisau Jahitan Keling Besi|Other; Kantung Obeng Tang Lakban Senter Gantung Pinggang|Other,,Sabuk batman teknisi lampu menyimpan segala kunci inggris senter dan gunting kabel di pinggul siap dicabut seketika saat harus memperbaiki lampu gantung panas di atas tangga tinggi,"Kulit Asli Keras Tahan Tusukan Pisau Jahitan Keling Besi, Kantung Obeng Tang Lakban Senter Gantung Pinggang"
908,Gator Frameworks Music Stand Clip,Gator,Klip Penjepit Lembaran Naskah Panggung (Music Stand Clip),,🔧,0,Penjepit Mulut Buaya Plastik Keras|Other; Per Kawat Baja Sangat Keras Cengkraman Kertas Anti Terbang Angin|Other,,Gigi buaya penyelamat partitur penyanyi mengunci kertas susunan acara di papan besi agar tidak terbang buyar ditiup angin topan kipas pendingin panggung yang kencang,"Penjepit Mulut Buaya Plastik Keras, Per Kawat Baja Sangat Keras Cengkraman Kertas Anti Terbang Angin"
909,Nanlite PavoTube 15C,Nanlite,Lampu Tongkat LED Berwarna Efek Video (RGB Tube Light),,🔧,0,Tongkat Cahaya Silinder Panjang|Other; Baterai Internal Kontrol Layar Tombol Ujung Kiri Kanan Bawah|Other,,Pedang laser jedi penyala warna meratakan cahaya di ruangan sempit bisa digantung di plafon mobil merubah suasana adegan balap malam hari menjadi nuansa neon film aksi futuristik,"Tongkat Cahaya Silinder Panjang, Baterai Internal Kontrol Layar Tombol Ujung Kiri Kanan Bawah"
910,Kessler Kwik Release Base,Kessler,Pelat Penggeser Bawah Kamera Rilis Cepat (Quick Release Baseplate),,🔧,0,Bongkahan Logam Penerbangan Pelat Arca Swiss Geser Masuk|Audio; Tuas Kunci Samping Jatuh Kunci Jepit Baja Otomatis|Other,,Landasan pacu pendaratan kamera mengunci mati alat berat dalam hitungan satu detik bunyi klik tanpa harus repot memutar mutar baut sekrup di bawah terik matahari panggung,"Bongkahan Logam Penerbangan Pelat Arca Swiss Geser Masuk, Tuas Kunci Samping Jatuh Kunci Jepit Baja Otomatis"
911,Ambient Recording NanoLockit,Ambient,Kotak Antarmuka Mesin Waktu Video (Timecode Generator),,🔧,0,Kotak Mungil Kabel Lemo Merah|Other; Pemancar Radio Internal Sinyal Waktu Sinkronisasi Cepat Baterai Internal|Other,,Detak jantung nirkabel pencetak angka jam menit detik ke dalam gambar dan suara kamera memastikan tiga kamera terpisah disatukan di ruang edit video secara otomatis dalam satu klik,"Kotak Mungil Kabel Lemo Merah, Pemancar Radio Internal Sinyal Waktu Sinkronisasi Cepat Baterai Internal"
912,Hollyland Mars 300 Pro,Hollyland,Modul Pemancar Sinyal Layar Teleprompter (Prompter Video Sender),,🔧,0,Kotak Logam Pengirim Sinyal HDMI|HDMI; Antena Ganda Eksternal Layar OLED Indikator Status Baterai Sinyal Bawah|LAN,,Tukang pos gambar tanpa kabel melempar naskah pidato dari laptop operator di belakang panggung langsung muncul di kaca cermin depan wajah presiden tanpa butuh tarikan kabel tebal,"Kotak Logam Pengirim Sinyal HDMI, Antena Ganda Eksternal Layar OLED Indikator Status Baterai Sinyal Bawah"
913,Kupo 226M Master C-Stand with Turtle Base,Kupo,Alas Dudukan Monitor TV Lantai Beroda (Monitor Rolling Stand),,🔧,0,Kaki Kura Kura Baja Berat Roda Rem Ganda|Other; Tiang Tinggi Teleskopik Pipa Krom Mulus Tahan Karat Bantingan|LAN,,Kaki baja beroda penyangga layar TV raksasa 50 inci yang bisa didorong mudah pindah sudut ruangan oleh satu jari asisten tanpa takut TV goyah atau ambruk menimpa kaki kru,"Kaki Kura Kura Baja Berat Roda Rem Ganda, Tiang Tinggi Teleskopik Pipa Krom Mulus Tahan Karat Bantingan"
914,Tilta 15mm Rod Battery Plate,Tilta,Penyangga Rel Pipa Tambahan Bawah Baterai (Rod Battery Plate),,🔧,0,Pelat V-Mount Jepitan Ganda Rel Pipa 15mm Aluminium Cor|LAN; Kabel Keluaran Daya Lurus Kamera Layar Samping|Other,,Gantungan ransel listrik menambatkan baterai balok raksasa ke ujung belakang pipa kamera berfungsi menyuplai listrik abadi sekaligus menjadi pemberat keseimbangan leher kamera,"Pelat V-Mount Jepitan Ganda Rel Pipa 15mm Aluminium Cor, Kabel Keluaran Daya Lurus Kamera Layar Samping"
915,Neutrik NA2-IO-DLINE,Neutrik,Kotak Pelindung Sinyal Audio Jaringan (Dante Breakout Box),,🔧,0,Kotak Karet Tahan Banting Dua XLR Masuk Dua XLR Keluar|Audio; Port LAN Jaringan Kunci Ekor Tarikan Anti Lepas Karet Tahan Air|LAN,,Terminal karet ajaib mengubah suara analog murni langsung menjadi bahasa data internet seketika siap dilempar melalui kabel LAN tunggal menuju truk siaran luar sejauh 100 meter,"Kotak Karet Tahan Banting Dua XLR Masuk Dua XLR Keluar, Port LAN Jaringan Kunci Ekor Tarikan Anti Lepas Karet Tahan Air"
916,Kondor Blue Battery Warmer,Kondor,Sabuk Pembalut Penghangat Baterai Dingin Salju (Battery Heater),,🔧,0,Kantung Kain Panas Tali Velcro Balut Baterai Kabel Daya|Other; Elemen Panas Internal Jaga Suhu Baterai Operasional|Other,,Selimut penghangat nyawa mesin mencegah baterai kamera mati beku mendadak saat syuting liputan dokumenter beruang kutub di tengah hamparan badai salju minus sepuluh derajat,"Kantung Kain Panas Tali Velcro Balut Baterai Kabel Daya, Elemen Panas Internal Jaga Suhu Baterai Operasional"
917,B+W 77mm Circular Polarizer Kaesemann,B+W,Filter Lensa Kaca Pemecah Pantulan Air (Polarizer Filter),,🔧,0,Kaca Gelap Putar Dua Lapis Bingkai Kuningan Anti Macet Ulir|Power; Lapisan Pelindung Nano Penolak Debu Air Tetesan Jatuh|Other,,Kacamata pesulap pemotong silau pantulan matahari di kaca mobil dan permukaan danau tembus pandang memperlihatkan ikan di dasar air sekaligus membirukan langit putih pucat,"Kaca Gelap Putar Dua Lapis Bingkai Kuningan Anti Macet Ulir, Lapisan Pelindung Nano Penolak Debu Air Tetesan Jatuh"
918,Rode PG2-R Pistol Grip,Rode,Gagang Pegangan Mikrofon Kamera Eksternal (Shockmount Pistol Grip),,🔧,0,Gagang Karet Berongga Berbentuk Pistol Ergonomis|Other; Tali Karet Penahan Getaran Lengan Penjepit Mic Panjang Atas|Audio,,Pegangan pistol anti gempa memegang mikrofon senapan jauh dari jangkauan kamera memastikan suara langkah kaki dan gesekan tangan kru tidak terekam masuk mengotori kejernihan dialog,"Gagang Karet Berongga Berbentuk Pistol Ergonomis, Tali Karet Penahan Getaran Lengan Penjepit Mic Panjang Atas"
919,SmallHD 702 Touch,SmallHD,Layar Monitor Kecerahan Tinggi Luar Ruang (High Bright Monitor),,🔧,0,Layar Sentuh 7 Inci Resolusi Penuh 1500 Nits Terang Benderang|Other; Dua Plat Baterai Belakang Port SDI HDMI Sisi|HDMI,,Jendela kebenaran yang bersinar mengalahkan terik matahari siang memampukan sutradara mengecek ketepatan fokus mata aktor tanpa harus bersembunyi di balik tenda kain hitam,"Layar Sentuh 7 Inci Resolusi Penuh 1500 Nits Terang Benderang, Dua Plat Baterai Belakang Port SDI HDMI Sisi"
920,Area51 Tether Co. USB-C Cable,Area51,Kabel Ekstensi USB-C Kecepatan Penuh Komputer (USB-C Tether Cable),,🔧,0,Kabel Tali Sepatu Rajut Tahan Putus Terinjak Merah Menyala|Other; Kepala USB-C Siku Menempel Sisi Kamera Lurus Data|USB,,Tali pusar data berkecepatan roket mentransfer ratusan foto mentah resolusi tinggi dari kamera ke laptop editor dalam hitungan milidetik saat sesi pemotretan model majalah sedang berlangsung,"Kabel Tali Sepatu Rajut Tahan Putus Terinjak Merah Menyala, Kepala USB-C Siku Menempel Sisi Kamera Lurus Data"
921,Ulanzi FM01 Filmog Ace,Ulanzi,Mesin Asap Ringan Portabel Fotografi (Handheld Smoke Machine),,🔧,0,Tabung Botol Kecil Seukuran Botol Air Genggam Tangan Baterai|Other; Pipa Semprot Asap Pengatur Ketebalan Asap Jarak Dekat|LAN,,Penyembur kabut mini saku memunculkan efek asap kopi panas buatan atau efek kabut misterius di atas meja produk makanan tanpa perlu menyalakan mesin asap panggung raksasa,"Tabung Botol Kecil Seukuran Botol Air Genggam Tangan Baterai, Pipa Semprot Asap Pengatur Ketebalan Asap Jarak Dekat"
922,Manfrotto MB MBAG120PN,Manfrotto,Tas Pelindung Tripod Beroda Jalan (Tripod Roller Bag),,🔧,0,Kain Balistik Nilon Tahan Sobek Tabung Panjang Roda Ujung|Other; Lapisan Dalam Busa Tahan Benturan Tutup Ritsleting Lingkar|Other,,Kantung pedang raksasa beroda melindungi kaki tripod serat karbon dari goresan dan benturan bagasi pesawat memudahkan asisten menariknya di aspal bandara tanpa merusak tulang bahu,"Kain Balistik Nilon Tahan Sobek Tabung Panjang Roda Ujung, Lapisan Dalam Busa Tahan Benturan Tutup Ritsleting Lingkar"
923,K-Tek KSTGMIX String Ring,K-Tek,Cincin Lampu Pengatur Suara Berjalan (Audio Mixer Bag Ring),,🔧,0,Gelang Baja Kecil Penahan Tali|LAN; Karet Penarik Kantung Mixer Dada Mengikat Pinggang Menahan Beban|Other,,Cincin ajaib penarik sabuk tas audio menempel erat di dada penata suara mencegah tas melompat lompat membentur perut saat berlari mengejar aktor melintasi jalanan setapak hutan,"Gelang Baja Kecil Penahan Tali, Karet Penarik Kantung Mixer Dada Mengikat Pinggang Menahan Beban"
924,Wooden Camera Dual V-Mount Plate,Wooden,Kotak Baterai Tambahan Layar Sutradara (Monitor Battery Plate),/images_real/real_0886.jpg,🔧,0,Papan Aluminium Rel Ganda Dua Baterai V-Mount Parkir Rapat|Power; Kabel Daya Langsung Layar Monitor Daya Berkelanjutan|LAN,,Gudang bensin listrik layar TV menyatukan kekuatan dua baterai menyalakan monitor raksasa secara non stop memampukan baterai ditukar bergantian tanpa harus mematikan layar di tengah syuting,"Papan Aluminium Rel Ganda Dua Baterai V-Mount Parkir Rapat, Kabel Daya Langsung Layar Monitor Daya Berkelanjutan"
925,Shurtape CP 743 Matte Black,Shurtape,Perekat Isolasi Hitam Pemblokir Cahaya Lensa (Black Masking Tape),,🔧,0,Pita Kertas Hitam Buram Tidak Memantulkan Cahaya Permukaan Kasar|Other; Lem Karet Mudah Lepas Tanpa Residu Lensa Kamera|Other,,Lakban ninja tanpa bayangan menutupi lampu indikator merah di bodi kamera yang bocor memantul di kaca jendela mobil saat syuting malam hari menyelamatkan adegan dari pantulan alien,"Pita Kertas Hitam Buram Tidak Memantulkan Cahaya Permukaan Kasar, Lem Karet Mudah Lepas Tanpa Residu Lensa Kamera"
926,Ergotron LX Desk Monitor Arm,Ergotron,Lengan Ekstensi Layar Komputer Rak (Monitor Articulating Arm),,🔧,0,Lengan Baja Pegas Hidrolik Gas Tarik Bebas Atas Bawah|Other; Klem Penjepit Meja Besi Putar Layar Penuh Belakang|Other,,Tangan robot hidrolik penahan monitor komputer editor mengambang di udara bebas ditarik mendekat saat mengedit detail piksel dan didorong menjauh saat meninjau hasil video keseluruhan,"Lengan Baja Pegas Hidrolik Gas Tarik Bebas Atas Bawah, Klem Penjepit Meja Besi Putar Layar Penuh Belakang"
927,Aputure Space Light,Aputure,Sistem Pembuangan Hawa Panas Lampu Video (Lighting Modifier Exhaust),,🔧,0,Kain Silinder Tenda Putih Bawah Bolong Serut Tali Panjang|Other; Lubang Udara Atas Menjaga Sirkulasi Panas Lampu Keluar|Other,,Karung cahaya ajaib penyebar sinar lurus ke bawah meja bundar rapat meminimalisir bocoran cahaya ke tembok sekaligus menjaga kepala lampu tidak meledak akibat panas terperangkap,"Kain Silinder Tenda Putih Bawah Bolong Serut Tali Panjang, Lubang Udara Atas Menjaga Sirkulasi Panas Lampu Keluar"
928,RAM Mounts Tough-Claw,RAM,Penjepit Pipa Kamera Aksi Setang Sepeda (Action Cam Handlebar Mount),,🔧,0,Cakar Kepiting Karet Penjepit Setang Besi Berbagai Ukuran Cengkeram|Other; Kepala Bola Karet Putar Lengan Pendek Jepit Kamera Kecil|Other,,Gigitan harimau karet mencengkram setang motor trail kuat menahan guncangan mesin dan getaran jalan berbatu memastikan kamera aksi tetap menatap tajam ke depan tanpa merunduk lemas,"Cakar Kepiting Karet Penjepit Setang Besi Berbagai Ukuran Cengkeram, Kepala Bola Karet Putar Lengan Pendek Jepit Kamera Kecil"
929,Nitecore MT06MD,Nitecore,Lampu Senter Penerang Warna Asli Kulit (High CRI Flashlight),,🔧,0,Bodi Pena Logam Kecil Aluminium Penjepit Saku Baju Depan|Other; Lampu LED Khusus Akurasi Warna CRI Tinggi Tidak Merusak Mata|Other,,Senter saku dokter andalan sutradara pencahayaan mengecek keaslian warna cat tembok set panggung dalam kegelapan tanpa tertipu oleh cahaya kuning lampu senter HP biasa,"Bodi Pena Logam Kecil Aluminium Penjepit Saku Baju Depan, Lampu LED Khusus Akurasi Warna CRI Tinggi Tidak Merusak Mata"
930,Rode SC6-L Mobile Interview Kit,Rode,Kabel Pembagi Audio Telepon Seluler Siaran (Smartphone Audio TRRS),,🔧,0,Kotak Kecil Dua Lubang Mikrofon Masuk Satu Lubang Earphone Keluar|Other; Colokan Petir Apple Langsung Masuk Perut HP|LAN,,Terminal mungil pengubah iPhone menjadi mesin siaran radio dua arah merekam suara dua orang wawancara jernih sambil membiarkan produser mendengarkan hasilnya secara langsung,"Kotak Kecil Dua Lubang Mikrofon Masuk Satu Lubang Earphone Keluar, Colokan Petir Apple Langsung Masuk Perut HP"
931,Safety Cable 30 Inch,Safety,Gantungan Kait Penahan Kabel Lampu Tali (Cable Lanyard Safety),/images_real/real_0893.jpg,🔧,0,Kabel Baja Berlapis Plastik Transparan Lingkar Cincin Karabiner Kunci Kuat|Other; Tahan Beban Tarikan 20 Kilogram Panas Lampu|Other,,Kawat pengikat nyawa kedua melingkar di tiang dan leher lampu mencegah jatuhnya lampu panggung seberat batu menghantam penonton saat sekrup utama patah di udara,"Kabel Baja Berlapis Plastik Transparan Lingkar Cincin Karabiner Kunci Kuat, Tahan Beban Tarikan 20 Kilogram Panas Lampu"
932,Shure A85WS,Shure,Penutup Kaca Depan Mikrofon Busa Raksasa (Large Mic Windscreen),,🔧,0,Busa Hitam Tebal Berongga Kepadatan Tinggi|Other; Lubang Karet Lentur Masuk Menjepit Kepala Mikrofon Rapat Kuat|Other,,Helm busa pelindung angin menyelimuti kapsul mic dari letupan huruf vokal napas penyanyi jarak dekat menjinakkan suara nafas hidung agar tak terdengar seperti badai topan di telinga pendengar,"Busa Hitam Tebal Berongga Kepadatan Tinggi, Lubang Karet Lentur Masuk Menjepit Kepala Mikrofon Rapat Kuat"
933,Dana Dolly Portable System,Dana,Sistem Rel Peluncur Kamera Tanah Cepat (Speed Rail Slider),/images_real/real_0895.jpg,🔧,0,Plat Roda Enam Belas Bearing Putar Mulus Lurus Halus Roda Karet|Other; Rel Pipa Baja Bebas Ukuran Dudukan Tiang Kaki Tiga Rendah|LAN,,Mesin kereta api kamera legendaris meluncur membelah ruang di atas pipa baja murah yang bisa dibeli di toko bangunan menciptakan gerakan melayang mulus alat berat tanpa getar,"Plat Roda Enam Belas Bearing Putar Mulus Lurus Halus Roda Karet, Rel Pipa Baja Bebas Ukuran Dudukan Tiang Kaki Tiga Rendah"
934,Sockitbox Weatherproof Connection Box,Sockitbox,Kotak Pengaman Colokan Listrik Luar Ruangan (Weatherproof Plug Cover),,🔧,0,Kotak Silinder Karet Segel Rapat Kunci Lipat Samping|LAN; Jalur Lubang Bawah Silikon Penjepit Masuk Keluar Kabel Listrik|Power,,Rumah perlindungan darurat membungkus colokan listrik panggung dari hantaman genangan air lumpur dan rintik hujan menyelamatkan seluruh acara dari petaka hubungan arus pendek listrik,"Kotak Silinder Karet Segel Rapat Kunci Lipat Samping, Jalur Lubang Bawah Silikon Penjepit Masuk Keluar Kabel Listrik"
935,Geekria Washable Cloth Covers,Geekria,Bantalan Telinga Penahan Keringat Headphone Panggung (Headphone Covers),,🔧,0,Kain Katun Tipis Melar Menyelimuti Busa Telinga Karet Gelang|LAN; Dapat Dicuci Kering Mesin Bebas Jamur Bau|Other,,Sarung kuping pelindung keringat membungkus headphone kru yang dipakai bergantian menjaga kebersihan dan kenyamanan kulit wajah saat bekerja 10 jam di panggung terbuka yang panas,"Kain Katun Tipis Melar Menyelimuti Busa Telinga Karet Gelang, Dapat Dicuci Kering Mesin Bebas Jamur Bau"
936,Wooden Camera 15mm Universal Lens Support,Wooden,Penjepit Rel Bawah Lensa Panjang Kamera Video (Long Lens Support Clamp),,🔧,0,Bantalan Rol Karet Putar Bawah Perut Lensa Ulir Penopang Atas|LAN; Jepitan Kunci Cepat Tarik Tiang Rel Bawah Rel 15mm Kamera|Other,,Pilar jembatan penopang perut raksasa lensa zoom menjaganya tidak bergetar tertiup angin saat merekam pergerakan bola di lapangan hijau jauh dari tribun atas stadion,"Bantalan Rol Karet Putar Bawah Perut Lensa Ulir Penopang Atas, Jepitan Kunci Cepat Tarik Tiang Rel Bawah Rel 15mm Kamera"
937,Alvin's Cables D-Tap to 5.5mm DC,Alvin's,Kabel Catu Daya Pengganti Monitor Luar (D-Tap to DC Monitor Power),,🔧,0,Kabel Ulir Tarik Spiral Karet Tahan Panas Gesekan|Other; Kepala Colokan Barel Laki Laki Siku Masuk Belakang Monitor Layar|Other,,Tali infus energi memompa listrik langsung dari punggung baterai kamera menuju monitor layar di atasnya meniadakan kebutuhan baterai tambahan kecil yang merepotkan dan memberatkan alat,"Kabel Ulir Tarik Spiral Karet Tahan Panas Gesekan, Kepala Colokan Barel Laki Laki Siku Masuk Belakang Monitor Layar"
938,Tiffen 82mm Black Pro-Mist 1/4,Tiffen,Filter Kaca Kamera Peningkat Ketajaman Kabut Malam (Black Pro-Mist Filter),,🔧,0,Kaca Filter Ulir Bingkai Logam Bintik Hitam Halus Dalam Kaca Bulat|Power; Menurunkan Kontras Menyebarkan Cahaya Pendar Lembut|Other,,Kaca mata ajaib bioskop memburamkan tajamnya resolusi digital modern merubah kilauan lampu malam menjadi menyebar sinematik bak film detektif era 80an tanpa mengurangi fokus mata,"Kaca Filter Ulir Bingkai Logam Bintik Hitam Halus Dalam Kaca Bulat, Menurunkan Kontras Menyebarkan Cahaya Pendar Lembut"
939,Audix MicroBoom MB5050,Audix,Tiang Mikrofon Gantung Penyanyi Paduan Suara (Choir Mic Hanging Stand),,🔧,0,Tiang Karbon Ekstra Ringan Ramping Hitam Panjang Miring Jatuh|Other; Ujung Kapsul Mikrofon Kondensor Kecil Tali Gantungan Keseimbangan Udara|Other,,Joran pancing mikrofon tak kasat mata melayang di atas kepala penyanyi paduan suara menangkap jernih harmonisasi ratusan suara tanpa menghalangi pandangan penonton ke wajah wajah penyanyi,"Tiang Karbon Ekstra Ringan Ramping Hitam Panjang Miring Jatuh, Ujung Kapsul Mikrofon Kondensor Kecil Tali Gantungan Keseimbangan Udara"
940,Inovativ Voyager 36 EVO,Inovativ,Rak Troli Dorong Editor Berdiri (Standing Production Cart),,🔧,0,Meja Aluminium Hitam Rak Bertingkat Roda Karet Pemompa Rem Kaki Kuat|Other; Tiang Samping Berlubang Sistem Kunci Pipa Tersembunyi Lipat Cepat|LAN,,Meja dapur berjalan editor DIT menahan beban komputer layar sentuh dan hardisk miliaran rupiah menggelinding mulus di jalan berbatu hutan dan bisa dilipat pipih masuk bagasi mobil suv,"Meja Aluminium Hitam Rak Bertingkat Roda Karet Pemompa Rem Kaki Kuat, Tiang Samping Berlubang Sistem Kunci Pipa Tersembunyi Lipat Cepat"
941,Teradek Array 4K,Teradek,Sistem Penerima Video Antena Kipas Sinyal Jauh (Panel Antenna Array),,🔧,0,Kotak Piringan Datar Antena Pemancar Lurus Sudut Sempit Jauh Ganda Kipas|LAN; Dudukan Belakang Baut Tiang Tripod Penyesuai Arah Sinyal Langit|LAN,,Penangkap sinyal peluru tajam memeluk gelombang gambar video kamera yang berlari menembus hutan sejauh satu kilometer memastikan sutradara di tenda aman terus bisa memantau tanpa layar hitam lag,"Kotak Piringan Datar Antena Pemancar Lurus Sudut Sempit Jauh Ganda Kipas, Dudukan Belakang Baut Tiang Tripod Penyesuai Arah Sinyal Langit"
942,Pony 1-Inch Spring Clamps,Pony,Alat Penjepit Kertas Layar Hijau Ke Tiang (Background Backdrop Clips),,🔧,0,Capitan Logam Pegas Sangat Kuat Mulut Kecil Buka Gigi Lebar Logam|Other; Lapisan Karet Hitam Pelindung Ujung Terkupas Kain Cengkram Kain Latar|Other,,Mulut piranha penjepit kain hijau studio menarik kencang ujung kain ke tiang besi menghilangkan kerutan gelombang bayangan agar editor video mudah menghapus latar belakang secara instan di komputer,"Capitan Logam Pegas Sangat Kuat Mulut Kecil Buka Gigi Lebar Logam, Lapisan Karet Hitam Pelindung Ujung Terkupas Kain Cengkram Kain Latar"
943,Kuncan 12V DC Extension Cable,Kuncan,Kabel Pemanjang Lubang Colokan Listrik Kamera Mungil (DC Extension Cord),,🔧,0,Kabel Tembaga Tipis Lentur Panjang 3 Meter|LAN; Ujung Colokan Laki Ke Betina Ukuran Standar 5.5mm Sesuai Kamera Kecil Pemancar|Other,,Tali pengantar bensin panjang menghidupkan pemancar sinyal radio di ujung tiang besi tinggi mengambil listrik dari lantai panggung tanpa harus menarik colokan besar berat ke udara,"Kabel Tembaga Tipis Lentur Panjang 3 Meter, Ujung Colokan Laki Ke Betina Ukuran Standar 5.5mm Sesuai Kamera Kecil Pemancar"
944,Chauvet DJ Data Stream 4,Chauvet,Papan Pembagi Sinyal Lampu Panggung Utama (DMX Opto-Splitter),,🔧,0,Satu Lubang Sinyal DMX Masuk Depan Empat Lubang DMX Keluar Isolasi Listrik Belakang|Power; Rak Besi 1U Lampu Indikator Led Kedip Data Berjalan|LAN,,Jantung polisi lalu lintas lampu memecah satu jalur perintah komputer menyebar ke empat sayap panggung berbeda dan mencegah korsleting dari satu lampu menjalar merusak seluruh mesin mixer utama,"Satu Lubang Sinyal DMX Masuk Depan Empat Lubang DMX Keluar Isolasi Listrik Belakang, Rak Besi 1U Lampu Indikator Led Kedip Data Berjalan"
945,Prompter People Extrusion Riser,Prompter,Layar Peninggi Sudut Pandang Teleprompter (Prompter Riser Block),,🔧,0,Balok Logam Persegi Panjang Lubang Baut Sepanjang Permukaan Atas Bawah|Other; Mengangkat Posisi Lensa Tinggi Sejajar Kaca Pembagi Cahaya Tengah|LAN,,Batu bata besi peninggi leher kamera DSLR kecil agar sejajar mengintip tepat di tengah jendela layar teleprompter raksasa menghindari tertangkapnya bingkai hitam kotak di hasil rekaman pidato video,"Balok Logam Persegi Panjang Lubang Baut Sepanjang Permukaan Atas Bawah, Mengangkat Posisi Lensa Tinggi Sejajar Kaca Pembagi Cahaya Tengah"
946,Falcam F22 Quick Release Bundle,Falcam,Pelat Dudukan Penjepit Kamera Bawah Rilis Kilat Kecil (Mini Quick Release Plate),,🔧,0,Kotak Logam Perak Seukuran Kuku Jari Persegi Penjepit Masuk Kunci Samping Dorong|Other; Menahan Beban Monitor Mikrofon Kecil Di Atas Bodi Kamera Putar Tarik|Other,,Gembok jari ajaib merubah cara pasang monitor dan mic dari memutar baut lama lama menjadi sekali klik tancap langsung mengunci aman tak tergoyahkan saat kamera berlari lari liputan rusuh,"Kotak Logam Perak Seukuran Kuku Jari Persegi Penjepit Masuk Kunci Samping Dorong, Menahan Beban Monitor Mikrofon Kecil Di Atas Bodi Kamera Putar Tarik"
